I_wcm2,lambda_nm,R,T,P,branchA_status
20000000.0,590.0,0.1935702940501888,0.0350263431586508,0.7714033627911604,ok
20000000.0,595.0,0.18790902901117293,0.05836305480889914,0.753727916179928,ok
20000000.0,600.0,0.18267652376647062,0.093126689695246,0.7241967865382835,ok
20000000.0,605.0,0.18188165957417457,0.13767910416173396,0.6804392362640914,ok
20000000.0,610.0,0.1888569243773526,0.1877152539409374,0.62342782168171,ok
20000000.0,615.0,0.20324166779843225,0.23908920884513254,0.5576691233564353,ok
20000000.0,620.0,0.2197086473420585,0.2877532028841212,0.49253814977382027,ok
20000000.0,625.0,0.23292879752007783,0.3331794094968375,0.4338917929830847,ok
20000000.0,630.0,0.2402420376457093,0.37590996699932766,0.38384799535496306,ok
20000000.0,635.0,0.2412396354324011,0.41615843740747466,0.3426019271601242,ok
20000000.0,640.0,0.23750055316498628,0.45388831836121735,0.30861112847379635,ok
20000000.0,645.0,0.23253946318527993,0.48815850648295905,0.279302030331761,ok
20000000.0,650.0,0.23098443772662341,0.5172725654845883,0.2517429967887882,ok
20000000.0,655.0,0.23555210890400138,0.5403555275078249,0.22409236358817375,ok
20000000.0,660.0,0.2442022244189457,0.558459392328361,0.19733838325269337,ok
20000000.0,665.0,0.2511258666895153,0.5714053761812332,0.17746875712925148,ok
