design,formula,lambda_nm,Re_eps_eff,Im_eps_eff,R,T,A
original,Bruggeman,580,3.021985,2.056479,0.012003,0.000000,0.987997
original,Bruggeman,590,3.040342,2.090469,0.013197,0.000000,0.986803
original,Bruggeman,600,3.058410,2.123875,0.014432,0.000000,0.985568
original,Bruggeman,610,3.077098,2.157325,0.015705,0.000000,0.984295
original,Bruggeman,620,3.097981,2.190438,0.017011,0.000000,0.982989
original,Bruggeman,630,3.117928,2.223939,0.018349,0.000000,0.981651
original,Bruggeman,640,3.138507,2.257473,0.019716,0.000000,0.980284
original,Bruggeman,650,3.160745,2.291612,0.021113,0.000000,0.978887
original,Bruggeman,660,3.306895,2.373775,0.022898,0.000000,0.977102
original,Bruggeman,670,3.503603,2.458547,0.024858,0.000000,0.975142
original,Bruggeman,680,3.710287,2.528606,0.026889,0.000000,0.973111
original,Bruggeman,690,3.921255,2.579140,0.028968,0.000000,0.971032
original,Bruggeman,700,4.092877,2.604059,0.030953,0.000000,0.969047
original,Bruggeman,710,4.269680,2.617118,0.032988,0.000000,0.967012
original,Bruggeman,720,4.450082,2.617351,0.035062,0.000000,0.964938
original,Bruggeman,730,4.633692,2.603886,0.037166,0.000000,0.962834
original,Bruggeman,740,4.790094,2.579546,0.039176,0.000000,0.960824
original,Bruggeman,750,4.948895,2.543736,0.041189,0.000000,0.958811
original,MLWA15,400,3.185116,0.877190,0.002247,0.000000,0.997753
original,MLWA15,410,3.182797,0.884084,0.002111,0.000000,0.997889
original,MLWA15,420,3.178065,0.885120,0.002201,0.000000,0.997799
original,MLWA15,430,3.168263,0.882756,0.002023,0.000000,0.997977
original,MLWA15,440,3.144459,0.879005,0.001746,0.000000,0.998253
original,MLWA15,450,3.095554,0.877481,0.001513,0.000001,0.998487
original,MLWA15,460,3.032278,0.874778,0.001432,0.000001,0.998567
original,MLWA15,470,2.952457,0.876305,0.001555,0.000001,0.998445
original,MLWA15,480,2.851283,0.886882,0.001873,0.000001,0.998126
original,MLWA15,490,2.695568,0.921772,0.002369,0.000000,0.997631
original,MLWA15,500,2.513026,0.993556,0.003008,0.000000,0.996991
original,MLWA15,510,2.275543,1.162938,0.004016,0.000000,0.995984
original,MLWA15,520,1.963624,1.432202,0.005912,0.000000,0.994088
original,MLWA15,530,1.610762,1.988760,0.010931,0.000000,0.989069
original,MLWA15,540,1.214322,3.000284,0.020851,0.000000,0.979149
original,MLWA15,550,1.333332,4.314891,0.025237,0.000000,0.974763
original,MLWA15,560,2.426371,6.051381,0.021810,0.000000,0.978190
original,MLWA15,570,3.703824,6.830095,0.017693,0.000000,0.982307
original,MLWA15,580,4.530243,7.093432,0.015970,0.000000,0.984030
original,MLWA15,590,5.488499,7.169680,0.014827,0.000000,0.985173
original,MLWA15,600,6.458382,7.005635,0.014635,0.000000,0.985365
original,MLWA15,610,7.364456,6.591211,0.015447,0.000000,0.984553
original,MLWA15,620,8.102010,5.940585,0.017222,0.000000,0.982778
original,MLWA15,630,8.641317,5.199201,0.019810,0.000000,0.980190
original,MLWA15,640,8.966543,4.418085,0.023134,0.000000,0.976866
original,MLWA15,650,9.097176,3.648814,0.027173,0.000000,0.972827
original,MLWA15,660,8.138954,1.926025,0.033435,0.000001,0.966564
original,MLWA15,670,7.156311,1.039452,0.036840,0.000329,0.962831
original,MLWA15,680,6.510851,0.638225,0.037766,0.005347,0.956887
original,MLWA15,690,6.079831,0.434347,0.038559,0.024290,0.937151
original,MLWA15,700,5.826211,0.336881,0.032511,0.052040,0.915449
original,MLWA15,710,5.625923,0.268933,0.036752,0.093264,0.869984
original,MLWA15,720,5.465283,0.219996,0.038311,0.138562,0.823127
original,MLWA15,730,5.333904,0.183566,0.020455,0.187107,0.792438
original,MLWA15,740,5.239524,0.160111,0.044209,0.235650,0.720141
