lower_fill,lower_t_nm,spacer_nm,lambda_nm,A_layers
0.30,1500,125,510,0.999458
0.30,1500,125,520,0.998197
0.30,1500,125,530,0.995577
0.30,1500,125,540,0.992512
0.30,1500,125,550,0.993338
0.30,1500,125,560,0.994845
0.30,1500,125,570,0.995644
0.30,1500,125,580,0.996292
0.30,1500,125,590,0.996987
0.30,1500,125,600,0.997747
0.30,1500,125,610,0.998540
0.30,1500,125,620,0.999178
0.30,1500,125,630,0.999310
0.30,1500,125,640,0.998985
0.30,1500,125,650,0.999105
0.30,1500,125,660,0.989801
0.30,1500,125,670,0.953083
0.30,1500,125,680,0.959341
0.30,1500,125,690,0.985403
0.30,1500,125,700,0.996152
0.30,1500,125,710,0.988580
0.30,1500,125,720,0.969590
0.30,1500,125,730,0.950552
0.30,1500,125,740,0.898937
0.30,1500,125,750,0.933670
0.30,1500,150,400,0.986891
0.30,1500,150,410,0.989279
0.30,1500,150,420,0.991254
0.30,1500,150,430,0.992934
