material,N,target_deg,scenario,phase_scale,mean_loss_db,peak_angle_deg,pointing_error_deg,beamwidth_3db_deg,sll_db,eta_tx,eta_peak,eta_target,eta_coherent,main_lobe_fraction,status
GSST,32,-15.0,planar_response_to_eim_design,0.9794910748195975,4.335279742373052,-14.989999999999995,0.010000000000005116,3.190000000000012,-12.976669008728429,0.4315388469036321,0.3990607289630402,0.3990439185556286,0.9247388313389903,0.7762914215064367,ok
Sb2S3,32,-15.0,eim_prediction,2.695111708382328,0.6696494412948073,-15.0,0.0,3.279999999999987,-13.240118663647058,0.8574020836842198,0.8572545388250257,0.8572545388250257,0.9998279163743572,0.8953104492101345,EIM buffer slice below cutoff
Sb2S3,32,-15.0,planar_calibrated,2.695111708382328,1.589347065511294,-15.0,0.0,3.289999999999992,-13.25503820227047,0.6959076093326757,0.6947181434114048,0.6947181434114048,0.9982907703475012,0.8970570366385776,EIM buffer slice below cutoff
Sb2S3,32,-15.0,planar_response_to_eim_design,2.695111708382328,4.283467884942583,-50.54,-35.54,5.080000000000005,0.0,0.3823062993709857,0.27507779641753444,0.007285540314496699,0.7195220085834946,0.014535060723953117,EIM buffer slice below cutoff
Sb2Se3,32,-15.0,eim_prediction,1.6521309314586994,0.19958505722193293,-15.0,0.0,3.279999999999987,-13.237111439330842,0.955195614130042,0.9551397209762181,0.9551397209762181,0.9999414851230501,0.8947544142924532,ok
Sb2Se3,32,-15.0,planar_calibrated,1.6521309314586994,0.6343722218160313,-15.0,0.0,3.289999999999992,-13.248177313368025,0.8654747752664013,0.8647859419796657,0.8647859419796657,0.9992040977895358,0.8964790439672261,ok
Sb2Se3,32,-15.0,planar_response_to_eim_design,1.6521309314586994,1.0480659697204444,-30.83,-15.829999999999998,3.730000000000004,0.0,0.7890065609387154,0.517723650666795,0.1303938319585851,0.6561715406407226,0.15035625121895854,ok
GSST,32,-10.0,eim_prediction,0.9794910748195975,7.172226822504927,-10.0,0.0,3.069999999999993,-9.191658953521785,0.2945536257743013,0.24156937306362047,0.24156937306362047,0.8201201816090377,0.6644262864701289,ok
GSST,32,-10.0,planar_calibrated,0.9794910748195975,4.393392948236551,-10.0,0.0,3.1099999999999994,-11.909320747423752,0.4211809201110438,0.39225936330721073,0.39225936330721073,0.9313322246501387,0.7889725204745105,ok
GSST,32,-10.0,planar_response_to_eim_design,0.9794910748195975,4.30328918097306,-9.980000000000004,0.01999999999999602,3.1099999999999994,-11.660227777029867,0.42754259288652696,0.39881515615001295,0.3987763756471114,0.932808012080007,0.7907849272855064,ok
